FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
269545,Costa,Restaurant/Cafe/Canteen,"Unit 7, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,0,0,0
1015461,Costa At Next,Restaurant/Cafe/Canteen,"Next, 205 The Westgate, Queen Street",OX1 1PE,0,5,0
1355187,Costa Coffee,Restaurant/Cafe/Canteen,"116 London Road, Headington, Oxford",OX3 9AX,0,0,5
268783,Costa Coffee,Restaurant/Cafe/Canteen,"205 Banbury Road, Oxford, Oxfordshire",OX2 7HQ,0,5,0
269252,Costa Coffee,Restaurant/Cafe/Canteen,"30 Queen Street, Oxford, Oxfordshire",OX1 1ER,0,5,0
997135,Costa Coffee,Restaurant/Cafe/Canteen,"Unit 1E, Templars Shopping Park, Between Towns Road",OX4 3JP,0,0,0
1672528,Cosy Club Oxford,Restaurant/Cafe/Canteen,"Cosy Club, Site Of Former Northgate House, 13 - 20 Cornmarket Street",OX1 3EY,5,0,0
548824,Cote Brasserie,Restaurant/Cafe/Canteen,"41 - 47 George Street, Oxford, Oxfordshire",OX1 2BE,0,0,0
268355,Cotswold Lodge Hotel,Restaurant/Cafe/Canteen,"66A Banbury Road, Oxford, Oxfordshire",OX2 6JP,0,0,5
1720670,Courtside @ Bury Knowles Park,Restaurant/Cafe/Canteen,"178 London Road, Headington, Oxford",OX3 9ED,0,0,0
1629491,Cowley Road Methodist Church,Restaurant/Cafe/Canteen,"The Annexe, Cowley Road Methodist Church, Jeune Street",OX4 1BN,0,0,0
929925,Craft Burger,Restaurant/Cafe/Canteen,"1 The Parade, Windmill Road, Oxford",OX3 7BL,0,0,5
1426984,Crepeaffaire Oxford,Restaurant/Cafe/Canteen,"Retail Unit 3, 276 - 292 Banbury Road, Oxford",OX2 7DY,5,5,0
1548701,Crosstown,Restaurant/Cafe/Canteen,"3 - 6 St Michael's Mansions, Ship Street, Oxford",OX1 3DE,5,5,0
1534518,Curry Adda,Restaurant/Cafe/Canteen,"76 London Road, Headington, Oxford",OX3 9AJ,0,0,5
